CODIGO_DEPARTAMENTO,NOMBRE_DEPARTAMENTO,NOMBRE_MUNICIPIO,CODIGO_MUNICIPIO,TIPO,LATITUD,LONGITUD
5,ANTIOQUIA,MEDELLÍN,5001,Municipio,6.257590259,-75.61103107
5,ANTIOQUIA,ABEJORRAL,5002,Municipio,5.803728154,-75.43847353
5,ANTIOQUIA,ABRIAQUÍ,5004,Municipio,6.627569378,-76.08597756
5,ANTIOQUIA,ALEJANDRÍA,5021,Municipio,6.365534125,-75.09059702
5,ANTIOQUIA,AMAGÁ,5030,Municipio,6.032921994,-75.7080031
5,ANTIOQUIA,AMALFI,5031,Municipio,6.977788843,-74.9812393
5,ANTIOQUIA,ANDES,5034,Municipio,5.604993248,-75.94128391
5,ANTIOQUIA,ANGELÓPOLIS,5036,Municipio,6.121430303,-75.71594966
5,ANTIOQUIA,ANGOSTURA,5038,Municipio,6.861498764,-75.358316
5,ANTIOQUIA,ANORÍ,5040,Municipio,7.193110778,-75.10848954
5,ANTIOQUIA,SANTA FÉ DE ANTIOQUIA,5042,Municipio,6.535711576,-75.90426658
5,ANTIOQUIA,ANZÁ,5044,Municipio,6.293546613,-75.91736927
5,ANTIOQUIA,APARTADÓ,5045,Municipio,7.86047815,-76.58236264
5,ANTIOQUIA,ARBOLETES,5051,Municipio,8.611395262,-76.41478317
5,ANTIOQUIA,ARGELIA,5055,Municipio,5.708114524,-75.09469795
5,ANTIOQUIA,ARMENIA,5059,Municipio,6.163683758,-75.80995528
5,ANTIOQUIA,BARBOSA,5079,Municipio,6.443417935,-75.32924085
5,ANTIOQUIA,BELMIRA,5086,Municipio,6.665853953,-75.68621659
5,ANTIOQUIA,BELLO,5088,Municipio,6.358841086,-75.58973588
5,ANTIOQUIA,BETANIA,5091,Municipio,5.727081285,-75.98689107
5,ANTIOQUIA,BETULIA,5093,Municipio,6.185783612,-75.95649246
5,ANTIOQUIA,CIUDAD BOLÍVAR,5101,Municipio,5.840995666,-76.01065253
5,ANTIOQUIA,BRICEÑO,5107,Municipio,7.111788462,-75.56223474
5,ANTIOQUIA,BURITICÁ,5113,Municipio,6.80906489,-75.91206595
5,ANTIOQUIA,CÁCERES,5120,Municipio,7.665155105,-75.22369744
5,ANTIOQUIA,CAICEDO,5125,Municipio,6.423463639,-75.99351498
5,ANTIOQUIA,CALDAS,5129,Municipio,6.054446841,-75.62642674
5,ANTIOQUIA,CAMPAMENTO,5134,Municipio,7.036017478,-75.28766178
5,ANTIOQUIA,CAÑASGORDAS,5138,Municipio,6.814950023,-76.02689632
5,ANTIOQUIA,CARACOLÍ,5142,Municipio,6.33797388,-74.73354817
5,ANTIOQUIA,CARAMANTA,5145,Municipio,5.555275296,-75.63082096
5,ANTIOQUIA,CAREPA,5147,Municipio,7.757967437,-76.64374657
5,ANTIOQUIA,EL CARMEN DE VIBORAL,5148,Municipio,5.978078841,-75.2635361
5,ANTIOQUIA,CAROLINA,5150,Municipio,6.754821442,-75.30590654
5,ANTIOQUIA,CAUCASIA,5154,Municipio,7.867941792,-75.03501824
5,ANTIOQUIA,CHIGORODÓ,5172,Municipio,7.631665644,-76.63964213
5,ANTIOQUIA,CISNEROS,5190,Municipio,6.550065431,-75.08254116
5,ANTIOQUIA,COCORNÁ,5197,Municipio,6.005593074,-75.16015403
5,ANTIOQUIA,CONCEPCIÓN,5206,Municipio,6.376106187,-75.21785901
5,ANTIOQUIA,CONCORDIA,5209,Municipio,6.057468678,-75.90014678
5,ANTIOQUIA,COPACABANA,5212,Municipio,6.351882893,-75.50075633
5,ANTIOQUIA,DABEIBA,5234,Municipio,6.992243782,-76.31426328
5,ANTIOQUIA,DONMATÍAS,5237,Municipio,6.492403905,-75.42227687
5,ANTIOQUIA,EBÉJICO,5240,Municipio,6.326444922,-75.78331175
5,ANTIOQUIA,EL BAGRE,5250,Municipio,7.704633351,-74.66427726
5,ANTIOQUIA,ENTRERRÍOS,5264,Municipio,6.594656004,-75.55913083
5,ANTIOQUIA,ENVIGADO,5266,Municipio,6.154394922,-75.54686779
5,ANTIOQUIA,FREDONIA,5282,Municipio,5.887702934,-75.67926242
5,ANTIOQUIA,FRONTINO,5284,Municipio,6.691364773,-76.33199656
5,ANTIOQUIA,GIRALDO,5306,Municipio,6.663095863,-75.94804663
5,ANTIOQUIA,GIRARDOTA,5308,Municipio,6.379745895,-75.44795744
5,ANTIOQUIA,GÓMEZ PLATA,5310,Municipio,6.709562839,-75.19270291
5,ANTIOQUIA,GRANADA,5313,Municipio,6.123380721,-75.12763646
5,ANTIOQUIA,GUADALUPE,5315,Municipio,6.861576325,-75.22591303
5,ANTIOQUIA,GUARNE,5318,Municipio,6.266625703,-75.43730801
5,ANTIOQUIA,GUATAPÉ,5321,Municipio,6.236329826,-75.15651272
5,ANTIOQUIA,HELICONIA,5347,Municipio,6.214511788,-75.74971002
5,ANTIOQUIA,HISPANIA,5353,Municipio,5.797039002,-75.90669203
5,ANTIOQUIA,ITAGÜÍ,5360,Municipio,6.179279438,-75.6142037
5,ANTIOQUIA,ITUANGO,5361,Municipio,7.341549718,-75.67842277
5,ANTIOQUIA,JARDÍN,5364,Municipio,5.574444339,-75.81842575
5,ANTIOQUIA,JERICÓ,5368,Municipio,5.769820536,-75.76488256
5,ANTIOQUIA,LA CEJA,5376,Municipio,5.992524843,-75.43086935
5,ANTIOQUIA,LA ESTRELLA,5380,Municipio,6.137595883,-75.64895499
5,ANTIOQUIA,LA PINTADA,5390,Municipio,5.746583958,-75.60220206
5,ANTIOQUIA,LA UNIÓN,5400,Municipio,5.940434685,-75.35429023
5,ANTIOQUIA,LIBORINA,5411,Municipio,6.723990935,-75.78300046
5,ANTIOQUIA,MACEO,5425,Municipio,6.534573585,-74.71410854
5,ANTIOQUIA,MARINILLA,5440,Municipio,6.18520515,-75.30487933
5,ANTIOQUIA,MONTEBELLO,5467,Municipio,5.916853903,-75.51972693
5,ANTIOQUIA,MURINDÓ,5475,Municipio,6.828773855,-76.70861349
5,ANTIOQUIA,MUTATÁ,5480,Municipio,7.329557848,-76.4630657
5,ANTIOQUIA,NARIÑO,5483,Municipio,5.581275312,-75.19457019
5,ANTIOQUIA,NECOCLÍ,5490,Municipio,8.493728551,-76.67699588
5,ANTIOQUIA,NECHÍ,5495,Municipio,7.983477394,-74.65844186
5,ANTIOQUIA,OLAYA,5501,Municipio,6.611418083,-75.77567097
5,ANTIOQUIA,PEÑOL,5541,Municipio,6.232396368,-75.22350906
